model,rank,lambda,topK,learning_rate,epoch,corruption,optimizer,MAP@10,MAP@15,MAP@20,MAP@5,MAP@50,NDCG,Precision@10,Precision@15,Precision@20,Precision@5,Precision@50,R-Precision,Recall@10,Recall@15,Recall@20,Recall@5,Recall@50
CDE-VAE,100,1.0,,0.0001,300,0.2,Adam,"[0.0072, 0.0009]","[0.0073, 0.0008]","[0.0071, 0.0007]","[0.0069, 0.0012]","[0.0064, 0.0005]","[0.0267, 0.0016]","[0.0077, 0.0008]","[0.007, 0.0006]","[0.0066, 0.0005]","[0.0075, 0.001]","[0.0054, 0.0003]","[0.0064, 0.0009]","[0.0185, 0.0022]","[0.0262, 0.0027]","[0.0331, 0.003]","[0.0081, 0.0014]","[0.068, 0.0042]"
CDE-VAE,100,1.0,,0.0005,300,0.2,Adam,"[0.0073, 0.0009]","[0.0074, 0.0008]","[0.0072, 0.0007]","[0.0073, 0.0012]","[0.0064, 0.0005]","[0.027, 0.0017]","[0.0075, 0.0007]","[0.0073, 0.0006]","[0.0066, 0.0005]","[0.0075, 0.001]","[0.0055, 0.0003]","[0.007, 0.001]","[0.018, 0.0022]","[0.0277, 0.0027]","[0.0332, 0.003]","[0.0081, 0.0014]","[0.0679, 0.0042]"
CDE-VAE,100,1.0,,0.001,300,0.2,Adam,"[0.0073, 0.0009]","[0.0074, 0.0008]","[0.0072, 0.0007]","[0.0071, 0.0012]","[0.0064, 0.0005]","[0.0267, 0.0017]","[0.0075, 0.0007]","[0.0073, 0.0006]","[0.0067, 0.0005]","[0.0081, 0.001]","[0.0053, 0.0003]","[0.0067, 0.001]","[0.0178, 0.0021]","[0.0282, 0.0028]","[0.0334, 0.003]","[0.0094, 0.0015]","[0.067, 0.0042]"
CDE-VAE,100,10.0,,0.0001,300,0.2,Adam,"[0.0072, 0.0009]","[0.0073, 0.0008]","[0.0071, 0.0007]","[0.0069, 0.0012]","[0.0064, 0.0005]","[0.0267, 0.0016]","[0.0077, 0.0008]","[0.0072, 0.0006]","[0.0065, 0.0005]","[0.0075, 0.001]","[0.0054, 0.0003]","[0.0064, 0.0009]","[0.0185, 0.0022]","[0.0272, 0.0027]","[0.033, 0.003]","[0.0081, 0.0014]","[0.0678, 0.0042]"
CDE-VAE,100,10.0,,0.0005,300,0.2,Adam,"[0.0074, 0.0009]","[0.0074, 0.0008]","[0.0072, 0.0007]","[0.0072, 0.0012]","[0.0064, 0.0005]","[0.0269, 0.0017]","[0.0075, 0.0007]","[0.0074, 0.0006]","[0.0066, 0.0005]","[0.0075, 0.001]","[0.0054, 0.0003]","[0.0069, 0.001]","[0.018, 0.0022]","[0.0282, 0.0028]","[0.0331, 0.003]","[0.0082, 0.0014]","[0.0675, 0.0042]"
CDE-VAE,100,10.0,,0.001,300,0.2,Adam,"[0.0073, 0.0009]","[0.0073, 0.0008]","[0.0072, 0.0007]","[0.0071, 0.0012]","[0.0064, 0.0005]","[0.0268, 0.0017]","[0.0074, 0.0007]","[0.0072, 0.0006]","[0.0068, 0.0005]","[0.0081, 0.001]","[0.0053, 0.0003]","[0.0067, 0.001]","[0.0178, 0.0021]","[0.0276, 0.0027]","[0.0347, 0.003]","[0.0094, 0.0015]","[0.067, 0.0042]"
CDE-VAE,100,100.0,,0.0001,300,0.2,Adam,"[0.0072, 0.0009]","[0.0073, 0.0008]","[0.0071, 0.0007]","[0.0069, 0.0012]","[0.0064, 0.0005]","[0.0267, 0.0016]","[0.0077, 0.0008]","[0.0072, 0.0006]","[0.0065, 0.0005]","[0.0075, 0.001]","[0.0054, 0.0003]","[0.0064, 0.0009]","[0.0185, 0.0022]","[0.0272, 0.0027]","[0.033, 0.003]","[0.0081, 0.0014]","[0.0678, 0.0042]"
CDE-VAE,100,100.0,,0.0005,300,0.2,Adam,"[0.0074, 0.0009]","[0.0074, 0.0008]","[0.0072, 0.0007]","[0.0072, 0.0012]","[0.0064, 0.0005]","[0.027, 0.0017]","[0.0075, 0.0007]","[0.0072, 0.0006]","[0.0066, 0.0005]","[0.0075, 0.001]","[0.0055, 0.0003]","[0.0069, 0.001]","[0.018, 0.0022]","[0.0272, 0.0027]","[0.0333, 0.003]","[0.0082, 0.0014]","[0.0678, 0.0042]"
CDE-VAE,100,100.0,,0.001,300,0.2,Adam,"[0.0073, 0.0009]","[0.0074, 0.0008]","[0.0072, 0.0007]","[0.0071, 0.0012]","[0.0064, 0.0005]","[0.0267, 0.0017]","[0.0074, 0.0007]","[0.0072, 0.0006]","[0.0068, 0.0005]","[0.0081, 0.001]","[0.0053, 0.0003]","[0.0067, 0.001]","[0.0178, 0.0021]","[0.0276, 0.0027]","[0.0347, 0.003]","[0.0094, 0.0015]","[0.0671, 0.0042]"
CDE-VAE,100,1000.0,,0.0001,300,0.2,Adam,"[0.0072, 0.0009]","[0.0073, 0.0008]","[0.0071, 0.0007]","[0.0069, 0.0012]","[0.0064, 0.0005]","[0.0267, 0.0016]","[0.0077, 0.0008]","[0.0072, 0.0006]","[0.0065, 0.0005]","[0.0075, 0.001]","[0.0054, 0.0003]","[0.0064, 0.0009]","[0.0185, 0.0022]","[0.0272, 0.0027]","[0.033, 0.003]","[0.0081, 0.0014]","[0.0679, 0.0042]"
CDE-VAE,100,1000.0,,0.0005,300,0.2,Adam,"[0.0074, 0.0009]","[0.0074, 0.0008]","[0.0072, 0.0007]","[0.0073, 0.0012]","[0.0064, 0.0005]","[0.027, 0.0017]","[0.0075, 0.0007]","[0.0073, 0.0006]","[0.0066, 0.0005]","[0.0075, 0.001]","[0.0055, 0.0003]","[0.007, 0.001]","[0.018, 0.0022]","[0.0278, 0.0027]","[0.0333, 0.003]","[0.0082, 0.0014]","[0.0676, 0.0042]"
CDE-VAE,100,1000.0,,0.001,300,0.2,Adam,"[0.0073, 0.0009]","[0.0073, 0.0008]","[0.0072, 0.0007]","[0.0071, 0.0012]","[0.0064, 0.0005]","[0.0268, 0.0017]","[0.0074, 0.0007]","[0.0072, 0.0006]","[0.0068, 0.0005]","[0.0081, 0.001]","[0.0053, 0.0003]","[0.0066, 0.001]","[0.0178, 0.0021]","[0.0276, 0.0027]","[0.0345, 0.003]","[0.0094, 0.0015]","[0.0674, 0.0042]"
CDE-VAE,100,10000.0,,0.0001,300,0.2,Adam,"[0.0072, 0.0009]","[0.0073, 0.0008]","[0.0071, 0.0007]","[0.0069, 0.0012]","[0.0064, 0.0005]","[0.0267, 0.0016]","[0.0077, 0.0008]","[0.0072, 0.0006]","[0.0065, 0.0005]","[0.0075, 0.001]","[0.0054, 0.0003]","[0.0064, 0.0009]","[0.0185, 0.0022]","[0.0272, 0.0027]","[0.033, 0.003]","[0.0081, 0.0014]","[0.0679, 0.0042]"
CDE-VAE,100,10000.0,,0.0005,300,0.2,Adam,"[0.0073, 0.0009]","[0.0074, 0.0008]","[0.0072, 0.0007]","[0.0073, 0.0012]","[0.0064, 0.0005]","[0.027, 0.0017]","[0.0075, 0.0007]","[0.0073, 0.0006]","[0.0066, 0.0005]","[0.0075, 0.001]","[0.0055, 0.0003]","[0.007, 0.001]","[0.018, 0.0022]","[0.0278, 0.0027]","[0.0333, 0.003]","[0.0081, 0.0014]","[0.0676, 0.0042]"
CDE-VAE,100,10000.0,,0.001,300,0.2,Adam,"[0.0073, 0.0009]","[0.0073, 0.0008]","[0.0072, 0.0007]","[0.0071, 0.0012]","[0.0064, 0.0005]","[0.0267, 0.0017]","[0.0074, 0.0007]","[0.0072, 0.0006]","[0.0068, 0.0005]","[0.0081, 0.001]","[0.0053, 0.0003]","[0.0066, 0.001]","[0.0178, 0.0021]","[0.0276, 0.0027]","[0.0347, 0.003]","[0.0094, 0.0015]","[0.067, 0.0042]"
